Address 1,Address 2,Address 1 & 2,latitude,longitude,Level,Canonical Address 1,Canonical Address 2,Canonical Address 1 & 2
Terhathum,Angdeem,"Angdeem, Terhathum",27.07007062,87.41777196,VDC,Terhathum,Angdeem,"Angdeem, Terhathum"
Taplejung,Angkhop,"Angkhop, Taplejung",27.30426432,87.90535965,VDC,Taplejung,Ankhop,"Ankhop, Taplejung"
Sankhuwasabha,Ankhibhui,"Ankhibhui, Sankhuwasabha",27.21578148,87.30014694,VDC,Sankhuwasabha,Ankhibhui,"Ankhibhui, Sankhuwasabha"
Dhankuta,Ankhisalla,"Ankhisalla, Dhankuta",26.95375048,87.25609193,VDC,Dhankuta,Ankhisalla,"Ankhisalla, Dhankuta"
Taplejung,Ankhop,"Ankhop, Taplejung",27.30426432,87.90535965,VDC,Taplejung,Ankhop,"Ankhop, Taplejung"
Bhojpur,Annapurna,"Annapurna, Bhojpur",27.20521822,86.96392457,VDC,Bhojpur,Annapurna,"Annapurna, Bhojpur"
Gulmi,Anpchaur,"Anpchaur, Gulmi",28.12732875,83.33513381,VDC,Gulmi,Apchaur,"Apchaur, Gulmi"
Udaypur,Ansri ,"Ansri, Udaypur",26.89137258,86.71083128,District,Udayapur,,Udayapur
Sarlahi,Antoli,"Antoli, Sarlahi",26.98160347,85.58319192,District,Sarlahi,,Sarlahi
Gulmi,Apchaur,"Apchaur, Gulmi",28.12732875,83.33513381,VDC,Gulmi,Apchaur,"Apchaur, Gulmi"
Kailali,Apkhaiya,"Apkhaiya, Kailali",28.7436197,80.87352184,District,Kailali,,Kailali
Kanchanpur,Apkhaiya,"Apkhaiya, Kanchanpur",28.87001501,80.3175719,District,Kanchanpur,,Kanchanpur
Sindhuli,Aranthakur,"Aranthakur, Sindhuli",27.06335984,86.27078825,VDC,Sindhuli,Arunthakur,"Arunthakur, Sindhuli"
Bihar,Araria,"Araria, Bihar",26.13,87.47,District,Bihar,Araria,"Araria, Bihar"
Kaski,Arba Vijaya,"Arba Vijaya, Kaski",28.23526042,84.04044894,VDC,Kaski,ArbaVijaya,"ArbaVijaya, Kaski"
Gulmi,Arbani,"Arbani, Gulmi",28.01076006,83.5868501,VDC,Gulmi,Arbani,"Arbani, Gulmi"
Kaski,Arbavijaya,"Arbavijaya, Kaski",28.23526042,84.04044894,VDC,Kaski,ArbaVijaya,"ArbaVijaya, Kaski"
Lamjung,Archalbot,"Archalbot, Lamjung",28.16175255,84.47080861,VDC,Lamjung,Archalbot,"Archalbot, Lamjung"
Palpa,Archale,"Archale, Palpa",27.76929634,83.84558785,VDC,Palpa,Archale,"Archale, Palpa"
Jajarkot  ,Archani,"Archani, Jajarkot",28.84923442,82.11159752,VDC,Jajarkot,Archhani,"Archhani, Jajarkot"
Jajarkot,Archhani,"Archhani, Jajarkot",28.84923442,82.11159752,VDC,Jajarkot,Archhani,"Archhani, Jajarkot"
Myagdi,Ardhuge,"Ardhuge, Myagdi",28.34735526,83.55279911,VDC,Myagdi,Arthunge,"Arthunge, Myagdi"
Rolpa,Aresh,"Aresh, Rolpa",28.19884824,82.76043028,VDC,Rolpa,Aresh,"Aresh, Rolpa"
Baglung,Argal,"Argal, Baglung",28.29112143,83.21266212,VDC,Baglung,Argal,"Argal, Baglung"
Palpa,Argali,"Argali, Palpa",27.92538406,83.46276285,VDC,Palpa,Argali,"Argali, Palpa"
Arghakhanchi,Argatus,"Argatus, Arghakhanchi",28.03064384,83.17861114,VDC,Arghakhanchi,Arghatos,"Arghatos, Arghakhanchi"
Gulmi,Argeli,"Argeli, Gulmi",28.09066802,83.24621601,VDC,Gulmi,Arkhale,"Arkhale, Gulmi"
Arghakhanchi,Argha,"Argha, Arghakhanchi",28.01281057,83.09646625,VDC,Arghakhanchi,Argha,"Argha, Arghakhanchi"
Arghakhanchi,Arghatos,"Arghatos, Arghakhanchi",28.03064384,83.17861114,VDC,Arghakhanchi,Arghatos,"Arghatos, Arghakhanchi"
Arghakhanchi,Argra,"Argra, Arghakhanchi",28.01281057,83.09646625,VDC,Arghakhanchi,Argha,"Argha, Arghakhanchi"
Gulmi,Arjai,"Arjai, Gulmi",28.17790813,83.1719625,VDC,Gulmi,Arje,"Arje, Gulmi"
Gulmi,Arje,"Arje, Gulmi",28.17790813,83.1719625,VDC,Gulmi,Arje,"Arje, Gulmi"
Baglung,Arjewa,"Arjewa, Baglung",28.5004604,83.04371208,VDC,Baglung,Arjewa,"Arjewa, Baglung"
Parbat,Arjewa,"Arjewa, Parbat",28.21040569,83.77705093,VDC,Parbat,Arthar Dadakharka,"Arthar Dadakharka, Parbat"
Syangja,Arjun Chaupari,"Arjun Chaupari, Syangja",28.08538639,83.76344296,VDC,Syangja,Arjun Chaupari,"Arjun Chaupari, Syangja"
Jh,Arjundhara,"Arjundhara, Jh",26.67823578,87.97582281,VDC,Jhapa,Arjundhara,"Arjundhara, Jhapa"
Jhapa,Arjundhara,"Arjundhara, Jhapa",26.67823578,87.97582281,VDC,Jhapa,Arjundhara,"Arjundhara, Jhapa"
Jhapa,Arjundhara(sukumbasi tole),"Arjundhara(sukumbasi tole), Jhapa",26.67823578,87.97582281,VDC,Jhapa,Arjundhara,"Arjundhara, Jhapa"
Pyuthan,Arkha,"Arkha, Pyuthan",28.27906688,83.0612968,VDC,Pyuthan,Arkha,"Arkha, Pyuthan"
Palpa,Arkhala  ,"Arkhala, Palpa",27.80640239,83.63311417,District,Palpa,,Palpa
Gulmi,Arkhale,"Arkhale, Gulmi",28.09066802,83.24621601,VDC,Gulmi,Arkhale,"Arkhale, Gulmi"
Khotang,Arkhaule,"Arkhaule, Khotang",27.18900051,86.68157482,VDC,Khotang,Arkhaule,"Arkhaule, Khotang"
Dhankuta,Arkhaule Jitpur,"Arkhaule Jitpur, Dhankuta",27.11586546,87.3425864,VDC,Dhankuta,ArkhauleJitpur,"ArkhauleJitpur, Dhankuta"
Dhankuta,Arkhaulejitpur,"Arkhaulejitpur, Dhankuta",27.11586546,87.3425864,VDC,Dhankuta,ArkhauleJitpur,"ArkhauleJitpur, Dhankuta"
Gulmi,Arkhawang,"Arkhawang, Gulmi",28.22525639,83.12293654,VDC,Gulmi,Arkhawang,"Arkhawang, Gulmi"
Gulmi,Arlangkot,"Arlangkot, Gulmi",28.17697607,83.35911862,VDC,Gulmi,Arlangkot,"Arlangkot, Gulmi"
Rukum,Arma,"Arma, Rukum",28.62492047,82.34784175,VDC,Rukum,Arma,"Arma, Rukum"
Kaski,Armala,"Armala, Kaski",28.29447682,84.0029183,VDC,Kaski,Armala,"Armala, Kaski"
Myagdi,Arman,"Arman, Myagdi",28.37245853,83.42566716,VDC,Myagdi,Arman,"Arman, Myagdi"
Saptari,Arnaha,"Arnaha, Saptari",26.56769436,86.65411034,VDC,Saptari,Arnaha,"Arnaha, Saptari"
Sarlahi,Arnaha,"Arnaha, Sarlahi",26.78132078,85.39416188,VDC,Sarlahi,Arnaha,"Arnaha, Sarlahi"
Siraha,Arnamalalpur,"Arnamalalpur, Siraha",26.70147495,86.28402339,VDC,Siraha,Arnamalalpur,"Arnamalalpur, Siraha"
Siraha,Arnamarampur,"Arnamarampur, Siraha",26.7307414,86.21362237,VDC,Siraha,Arnamarampur,"Arnamarampur, Siraha"
Palpa,Arsadhi,"Arsadhi, Palpa",27.76929634,83.84558785,VDC,Palpa,Archale,"Archale, Palpa"
Nawalparasi,Arsala,"Arsala, Nawalparasi",27.63221514,83.96993575,District,Nawalparasi,,Nawalparasi
Parbat,Arthar,"Arthar, Parbat",28.21040569,83.77705093,VDC,Parbat,Arthar Dadakharka,"Arthar Dadakharka, Parbat"
Parbat,Arthar Dadakharka,"Arthar Dadakharka, Parbat",28.21040569,83.77705093,VDC,Parbat,Arthar Dadakharka,"Arthar Dadakharka, Parbat"
Myagdi,Arthunge,"Arthunge, Myagdi",28.34735526,83.55279911,VDC,Myagdi,Arthunge,"Arthunge, Myagdi"
Gorkha,Aruchanaute,"Aruchanaute, Gorkha",28.06270645,84.81318254,VDC,Gorkha,AaruChanuate,"AaruChanuate, Gorkha"
Syangja,Aruchaur,"Aruchaur, Syangja",28.12838507,83.72889489,VDC,Syangja,Aruchaur,"Aruchaur, Syangja"
Syangja,Arukharka,"Arukharka, Syangja",28.1787159,83.8649124,VDC,Syangja,Arukharka,"Arukharka, Syangja"
Nawalparasi,Arun Khola  ,"Arun Khola, Nawalparasi",27.63221514,83.96993575,District,Nawalparasi,,Nawalparasi
Tanahu,Arundaha,"Arundaha, Tanahu",27.96726428,84.02541183,VDC,Tanahu,Arunodaya,"Arunodaya, Tanahu"
Tanahun,Arungai,"Arungai, Tanahun",27.96726428,84.02541183,VDC,Tanahu,Arunodaya,"Arunodaya, Tanahu"
Tanahu,Arungdaha,"Arungdaha, Tanahu",27.96726428,84.02541183,VDC,Tanahu,Arunodaya,"Arunodaya, Tanahu"
Tanahu,Arunodaya,"Arunodaya, Tanahu",27.96726428,84.02541183,VDC,Tanahu,Arunodaya,"Arunodaya, Tanahu"
