Address 1,Address 2,Canonical Address 1 & 2,latitude,longitude,Level,Lat/Long
Sindhuli,,Sindhuli,27.18494,85.95426,District,27.184939697569 - 85.9542576628507District
Sindhupalchok,,Sindhupalchok,27.90147,85.74771,District,27.9014664071035 - 85.7477140538044District
Bhojpur,Sindrang,"Sindrang, Bhojpur",26.99699771,87.08739044,VDC,26.9969977088002 - 87.0873904423649VDC
Lamjung,Sindure,"Sindure, Lamjung",28.18294121,84.31490731,VDC,28.1829412091687 - 84.3149073111199VDC
Myagdi,Singa,"Singa, Myagdi",28.36040399,83.50905479,VDC,28.3604039901103 - 83.5090547879993VDC
Baglung,Singana,"Singana, Baglung",28.23165648,83.54006107,VDC,28.2316564823684 - 83.5400610652016VDC
Morang,Singhadevi,"Singhadevi, Morang",26.8456324,87.47083681,VDC,26.8456323956441 - 87.4708368083281VDC
Okhaldhunga,Singhadevi,"Singhadevi, Okhaldhunga",27.32855982,86.24232958,VDC,27.3285598233326 - 86.2423295807379VDC
Kapilbastu,Singhkhor,"Singhkhor, Kapilbastu",27.50285363,82.98747825,VDC,27.5028536260432 - 82.9874782532569VDC
Sunsari,Singiya,"Singiya, Sunsari",26.69047674,87.15692155,VDC,26.6904767359762 - 87.1569215529649VDC
Mahottari,Singyahi,"Singyahi, Mahottari",26.83693324,85.86534544,VDC,26.8369332397155 - 85.865345444893VDC
Dhanusa,SingyahiMaidan,"SingyahiMaidan, Dhanusa",26.7206131,86.17721018,VDC,26.7206130975857 - 86.1772101849302VDC
Dailekh,Sinhasain,"Sinhasain, Dailekh",29.04651885,81.51601603,VDC,29.0465188455577 - 81.516016027949VDC
Bara,Sinhasani,"Sinhasani, Bara",27.02079611,85.16897801,VDC,27.0207961139475 - 85.1689780128156VDC
Dhanusa,Sinurjoda,"Sinurjoda, Dhanusa",26.792319,85.92449971,VDC,26.7923189971679 - 85.9244997052069VDC
Bhaktapur,Sipadol,"Sipadol, Bhaktapur",27.64440132,85.43765766,VDC,27.6444013203657 - 85.4376576573505VDC
Kavrepalanchok,SipaliChilaune,"SipaliChilaune, Kavrepalanchok",27.47396,85.66799888,VDC,27.4739600009949 - 85.6679988789719VDC
Sindhupalchok,SipalKavre,"SipalKavre, Sindhupalchok",27.83503711,85.66371144,VDC,27.8350371088562 - 85.6637114378357VDC
